Date;Filière;Valeur (TWh)
2011-09;"Thermique renouvelable et déchets";0,418
2011-10;"Thermique renouvelable et déchets";0,404
2011-11;"Thermique renouvelable et déchets";0,487
2011-12;"Thermique renouvelable et déchets";0,509
2012-01;"Thermique renouvelable et déchets";0,514
2012-02;"Thermique renouvelable et déchets";0,453
2012-03;"Thermique renouvelable et déchets";0,532
2012-04;"Thermique renouvelable et déchets";0,405
2012-05;"Thermique renouvelable et déchets";0,468
2012-06;"Thermique renouvelable et déchets";0,437
2012-07;"Thermique renouvelable et déchets";0,514
2012-08;"Thermique renouvelable et déchets";0,486
2012-09;"Thermique renouvelable et déchets";0,47
2012-10;"Thermique renouvelable et déchets";0,45
2012-11;"Thermique renouvelable et déchets";0,514
2012-12;"Thermique renouvelable et déchets";0,525
2013-01;"Thermique renouvelable et déchets";0,654138951
2013-02;"Thermique renouvelable et déchets";0,595340774
2013-03;"Thermique renouvelable et déchets";0,642299727
2013-04;"Thermique renouvelable et déchets";0,469134032
2013-05;"Thermique renouvelable et déchets";0,537286852
2013-06;"Thermique renouvelable et déchets";0,508404237
2013-07;"Thermique renouvelable et déchets";0,576837077
2013-08;"Thermique renouvelable et déchets";0,584230247
2013-09;"Thermique renouvelable et déchets";0,524964301
2013-10;"Thermique renouvelable et déchets";0,607094095
2013-11;"Thermique renouvelable et déchets";0,663212903
2013-12;"Thermique renouvelable et déchets";0,680425625
2014-01;"Thermique renouvelable et déchets";0,62317750476
2014-02;"Thermique renouvelable et déchets";0,571703454394
2014-03;"Thermique renouvelable et déchets";0,617816473595
2014-04;"Thermique renouvelable et déchets";0,532218103217
2014-05;"Thermique renouvelable et déchets";0,607583116075
2014-06;"Thermique renouvelable et déchets";0,531292348289
2014-07;"Thermique renouvelable et déchets";0,596770141244
2014-08;"Thermique renouvelable et déchets";0,588904145109
2014-09;"Thermique renouvelable et déchets";0,54681935572
2014-10;"Thermique renouvelable et déchets";0,562182227613
2014-11;"Thermique renouvelable et déchets";0,646019676643
2014-12;"Thermique renouvelable et déchets";0,670007762376
2015-01;"Thermique renouvelable et déchets";0,671880527741
2015-02;"Thermique renouvelable et déchets";0,617985990029
2015-03;"Thermique renouvelable et déchets";0,676755198209
2015-04;"Thermique renouvelable et déchets";0,571243585832
2015-05;"Thermique renouvelable et déchets";0,625299532673
2015-06;"Thermique renouvelable et déchets";0,587373750828
2015-07;"Thermique renouvelable et déchets";0,64228931539
2015-08;"Thermique renouvelable et déchets";0,655699488697
2015-09;"Thermique renouvelable et déchets";0,630032062652
2015-10;"Thermique renouvelable et déchets";0,613532084185
2015-11;"Thermique renouvelable et déchets";0,699571102105
2015-12;"Thermique renouvelable et déchets";0,732330738628
2016-01;"Thermique renouvelable et déchets";0,756720545339
2016-02;"Thermique renouvelable et déchets";0,70423848651
2016-03;"Thermique renouvelable et déchets";0,754648901005
2016-04;"Thermique renouvelable et déchets";0,678449288401
2016-05;"Thermique renouvelable et déchets";0,707379474526
2016-06;"Thermique renouvelable et déchets";0,64421161937
2016-07;"Thermique renouvelable et déchets";0,742567222168
2016-08;"Thermique renouvelable et déchets";0,719655377471
2016-09;"Thermique renouvelable et déchets";0,674823312338
2016-10;"Thermique renouvelable et déchets";0,667293653501
2016-11;"Thermique renouvelable et déchets";0,767660643912
2016-12;"Thermique renouvelable et déchets";0,80163016314
2017-01;"Thermique renouvelable et déchets";0,811097487534
2017-02;"Thermique renouvelable et déchets";0,720034625213
2017-03;"Thermique renouvelable et déchets";0,775923466528
2017-04;"Thermique renouvelable et déchets";0,728119366262
2017-05;"Thermique renouvelable et déchets";0,73578900897
2017-06;"Thermique renouvelable et déchets";0,751845510517
2017-07;"Thermique renouvelable et déchets";0,814755078275
2017-08;"Thermique renouvelable et déchets";0,782920786109
2017-09;"Thermique renouvelable et déchets";0,762142295582
2017-10;"Thermique renouvelable et déchets";0,759278088197
2017-11;"Thermique renouvelable et déchets";0,851864742896
2017-12;"Thermique renouvelable et déchets";0,830558563334
2018-01;"Thermique renouvelable et déchets";0,785421968676
2018-02;"Thermique renouvelable et déchets";0,760034977669
2018-03;"Thermique renouvelable et déchets";0,789498431756
2018-04;"Thermique renouvelable et déchets";0,792229676175
2018-05;"Thermique renouvelable et déchets";0,81394350724
2018-06;"Thermique renouvelable et déchets";0,728608114149
2018-07;"Thermique renouvelable et déchets";0,817148619188
2018-08;"Thermique renouvelable et déchets";0,807386442496
2018-09;"Thermique renouvelable et déchets";0,801235639723
2018-10;"Thermique renouvelable et déchets";0,767413681777
2018-11;"Thermique renouvelable et déchets";0,785053427479
2018-12;"Thermique renouvelable et déchets";0,832775414663
2019-01;"Thermique renouvelable et déchets";0,826128890534
2019-02;"Thermique renouvelable et déchets";0,75797891029
2019-03;"Thermique renouvelable et déchets";0,842881565073
2019-04;"Thermique renouvelable et déchets";0,747049770562
2019-05;"Thermique renouvelable et déchets";0,814589201241
2019-06;"Thermique renouvelable et déchets";0,718302795493
2019-07;"Thermique renouvelable et déchets";0,771851169406
2019-08;"Thermique renouvelable et déchets";0,86836446274
2019-09;"Thermique renouvelable et déchets";0,761883277792
2019-10;"Thermique renouvelable et déchets";0,754992010214
2019-11;"Thermique renouvelable et déchets";0,793164612379
2019-12;"Thermique renouvelable et déchets";0,827177133765
2020-01;"Thermique renouvelable et déchets";0,830430510929
2020-02;"Thermique renouvelable et déchets";0,782522176859
2020-03;"Thermique renouvelable et déchets";0,850400939439
2020-04;"Thermique renouvelable et déchets";0,815162803326
2020-05;"Thermique renouvelable et déchets";0,832140097164
2020-06;"Thermique renouvelable et déchets";0,795378381301
2020-07;"Thermique renouvelable et déchets";0,831141429858
2020-08;"Thermique renouvelable et déchets";0,805959221461
2020-09;"Thermique renouvelable et déchets";0,754964717603
2020-10;"Thermique renouvelable et déchets";0,742986919185
2020-11;"Thermique renouvelable et déchets";0,771044856349
2020-12;"Thermique renouvelable et déchets";0,815864120472
2021-01;"Thermique renouvelable et déchets";0,839268609859
2021-02;"Thermique renouvelable et déchets";0,767899303797
2021-03;"Thermique renouvelable et déchets";0,850965679781
2021-04;"Thermique renouvelable et déchets";0,791456069898
2021-05;"Thermique renouvelable et déchets";0,84027181123
2021-06;"Thermique renouvelable et déchets";0,781389064498
2021-07;"Thermique renouvelable et déchets";0,904749288788
2021-08;"Thermique renouvelable et déchets";0,862095928037
2021-09;"Thermique renouvelable et déchets";0,81431216855
2021-10;"Thermique renouvelable et déchets";0,833219344861
2021-11;"Thermique renouvelable et déchets";0,836372841383
2021-12;"Thermique renouvelable et déchets";0,85734557984
2022-01;"Thermique renouvelable et déchets";0,876530951935
2022-02;"Thermique renouvelable et déchets";0,855652780243
2022-03;"Thermique renouvelable et déchets";0,929478285359
2022-04;"Thermique renouvelable et déchets";0,858299271849
2022-05;"Thermique renouvelable et déchets";0,963917276662
2022-06;"Thermique renouvelable et déchets";0,841658403655
2022-07;"Thermique renouvelable et déchets";0,885948236117
2022-08;"Thermique renouvelable et déchets";0,859076997076
2022-09;"Thermique renouvelable et déchets";0,882213510215
2022-10;"Thermique renouvelable et déchets";0,831126417278
2022-11;"Thermique renouvelable et déchets";0,856226472673
2022-12;"Thermique renouvelable et déchets";0,906967310601
2023-01;"Thermique renouvelable et déchets";0,87616476215
2023-02;"Thermique renouvelable et déchets";0,807234318864
2023-03;"Thermique renouvelable et déchets";0,869129241425
2023-04;"Thermique renouvelable et déchets";0,849519517022
2023-05;"Thermique renouvelable et déchets";0,922249885828
2023-06;"Thermique renouvelable et déchets";0,820512589386
2023-07;"Thermique renouvelable et déchets";0,911371438784
2023-08;"Thermique renouvelable et déchets";0,890933813061
2023-09;"Thermique renouvelable et déchets";0,830865798098
2023-10;"Thermique renouvelable et déchets";0,826780180526
2023-11;"Thermique renouvelable et déchets";0,836603607483
2023-12;"Thermique renouvelable et déchets";0,910164801424
2024-01;"Thermique renouvelable et déchets";0,873518301223
2024-02;"Thermique renouvelable et déchets";0,858479751803
2024-03;"Thermique renouvelable et déchets";0,58404975
1995-01;"Production totale";48,32
1995-02;"Production totale";39,49
1995-03;"Production totale";44,41
1995-04;"Production totale";38,4
1995-05;"Production totale";36,53
1995-06;"Production totale";35,27
1995-07;"Production totale";35,98
1995-08;"Production totale";34,21
1995-09;"Production totale";35,45
1995-10;"Production totale";37,35
1995-11;"Production totale";41,81
1995-12;"Production totale";44,15
1996-01;"Production totale";47,75
1996-02;"Production totale";45,87
1996-03;"Production totale";44,59
1996-04;"Production totale";39,58
1996-05;"Production totale";37,73
1996-06;"Production totale";35,21
1996-07;"Production totale";36,66
1996-08;"Production totale";33,79
1996-09;"Production totale";36,25
1996-10;"Production totale";40,84
1996-11;"Production totale";43,56
1996-12;"Production totale";47,99
1997-01;"Production totale";49,59
1997-02;"Production totale";41,36
1997-03;"Production totale";40,28
1997-04;"Production totale";39,84
1997-05;"Production totale";36,94
1997-06;"Production totale";35,61
1997-07;"Production totale";36,83
1997-08;"Production totale";34,63
1997-09;"Production totale";35,96
1997-10;"Production totale";41,12
1997-11;"Production totale";42,49
1997-12;"Production totale";46,31
1998-01;"Production totale";48,66
1998-02;"Production totale";43,12
1998-03;"Production totale";44,82
1998-04;"Production totale";41,53
1998-05;"Production totale";37,81
1998-06;"Production totale";36,43
1998-07;"Production totale";35,98
1998-08;"Production totale";30,74
1998-09;"Production totale";34,6
1998-10;"Production totale";41
1998-11;"Production totale";44,66
1998-12;"Production totale";47,62
1999-01;"Production totale";47,46
1999-02;"Production totale";44,55
1999-03;"Production totale";44,47
1999-04;"Production totale";41,45
1999-05;"Production totale";37,24
1999-06;"Production totale";36,53
1999-07;"Production totale";38,26
1999-08;"Production totale";35,63
1999-09;"Production totale";37,72
1999-10;"Production totale";41,99
1999-11;"Production totale";45,65
1999-12;"Production totale";49,35
2000-01;"Production totale";50,13
2000-02;"Production totale";45,88
2000-03;"Production totale";46,86
2000-04;"Production totale";42,8
2000-05;"Production totale";39,85
2000-06;"Production totale";38,05
2000-07;"Production totale";38,75
2000-08;"Production totale";37,1
2000-09;"Production totale";38,41
2000-10;"Production totale";42,83
2000-11;"Production totale";47,28
2000-12;"Production totale";48,75
2001-01;"Production totale";51,48
2001-02;"Production totale";44,68
2001-03;"Production totale";46,63
2001-04;"Production totale";42,85
2001-05;"Production totale";39,84
2001-06;"Production totale";37,95
2001-07;"Production totale";39,59
2001-08;"Production totale";37,06
2001-09;"Production totale";39,31
2001-10;"Production totale";43,55
2001-11;"Production totale";48,88
2001-12;"Production totale";52,22
2002-01;"Production totale";52,86
2002-02;"Production totale";45,42
2002-03;"Production totale";47,49
2002-04;"Production totale";43,9
2002-05;"Production totale";42,51
2002-06;"Production totale";39,84
2002-07;"Production totale";40,37
2002-08;"Production totale";37,06
2002-09;"Production totale";40,02
2002-10;"Production totale";44,82
2002-11;"Production totale";48,3
2002-12;"Production totale";52,94
2003-01;"Production totale";56,25
2003-02;"Production totale";50,85
2003-03;"Production totale";48,35
2003-04;"Production totale";43,62
2003-05;"Production totale";40,89
2003-06;"Production totale";39,11
2003-07;"Production totale";40,29
2003-08;"Production totale";36,84
2003-09;"Production totale";38,49
2003-10;"Production totale";44,99
2003-11;"Production totale";48,62
2003-12;"Production totale";53,81
2004-01;"Production totale";55,46
2004-02;"Production totale";49,03
2004-03;"Production totale";50,1
2004-04;"Production totale";43,9
2004-05;"Production totale";41,78
2004-06;"Production totale";39,81
2004-07;"Production totale";40
2004-08;"Production totale";37,67
2004-09;"Production totale";40,23
2004-10;"Production totale";45,42
2004-11;"Production totale";49,94
2004-12;"Production totale";55,38
2005-01;"Production totale";54,63
2005-02;"Production totale";49,67
2005-03;"Production totale";49,78
2005-04;"Production totale";43,71
2005-05;"Production totale";42,6
2005-06;"Production totale";41,04
2005-07;"Production totale";39,88
2005-08;"Production totale";39,12
2005-09;"Production totale";40,73
2005-10;"Production totale";43,56
2005-11;"Production totale";49,91
2005-12;"Production totale";55,5
2006-01;"Production totale";55,97
2006-02;"Production totale";48,18
2006-03;"Production totale";50,15
2006-04;"Production totale";45,27
2006-05;"Production totale";42,64
2006-06;"Production totale";40,49
2006-07;"Production totale";40,48
2006-08;"Production totale";39,02
2006-09;"Production totale";41,29
2006-10;"Production totale";44,3
2006-11;"Production totale";48,25
2006-12;"Production totale";53,06
2007-01;"Production totale";53,5
2007-02;"Production totale";48,24
2007-03;"Production totale";50,5
2007-04;"Production totale";41,14
2007-05;"Production totale";41,35
2007-06;"Production totale";41,12
2007-07;"Production totale";41,2
2007-08;"Production totale";40,37
2007-09;"Production totale";40,79
2007-10;"Production totale";45,62
2007-11;"Production totale";47,47
2007-12;"Production totale";53,49
2008-01;"Production totale";54,92
2008-02;"Production totale";50,25
2008-03;"Production totale";50,19
2008-04;"Production totale";45,95
2008-05;"Production totale";41,72
2008-06;"Production totale";40,33
2008-07;"Production totale";41,03
2008-08;"Production totale";38,74
2008-09;"Production totale";39,95
2008-10;"Production totale";42,9
2008-11;"Production totale";48,24
2008-12;"Production totale";54,95
2009-01;"Production totale";58,13
2009-02;"Production totale";50,56
2009-03;"Production totale";49,43
2009-04;"Production totale";40,88
2009-05;"Production totale";39,66
2009-06;"Production totale";36,3
2009-07;"Production totale";37,09
2009-08;"Production totale";35,38
2009-09;"Production totale";36,19
2009-10;"Production totale";39,78
2009-11;"Production totale";43,56
2009-12;"Production totale";52,19
2010-01;"Production totale";56,54
2010-02;"Production totale";50,41
2010-03;"Production totale";51,07
2010-04;"Production totale";41,69
2010-05;"Production totale";39,85
2010-06;"Production totale";40,22
2010-07;"Production totale";41,06
2010-08;"Production totale";39,5
2010-09;"Production totale";39,22
2010-10;"Production totale";42,12
2010-11;"Production totale";49,44
2010-12;"Production totale";58,97
2011-01;"Production totale";58,23
2011-02;"Production totale";50,39
2011-03;"Production totale";50,7
2011-04;"Production totale";41,03
2011-05;"Production totale";41,07
2011-06;"Production totale";40,35
2011-07;"Production totale";40,91
2011-08;"Production totale";38,5
2011-09;"Production totale";38,97
2011-10;"Production totale";42,44
2011-11;"Production totale";46,27
2011-12;"Production totale";53,65
2012-01;"Production totale";57,18
2012-02;"Production totale";54,42
2012-03;"Production totale";48,59
2012-04;"Production totale";44,19
2012-05;"Production totale";40,43
2012-06;"Production totale";37,52
2012-07;"Production totale";37,91
2012-08;"Production totale";36,34
2012-09;"Production totale";38,03
2012-10;"Production totale";42,99
2012-11;"Production totale";49,23
2012-12;"Production totale";54,72
2013-01;"Production totale";57,74
2013-02;"Production totale";52,26
2013-03;"Production totale";51,88
2013-04;"Production totale";44,12
2013-05;"Production totale";43,38
2013-06;"Production totale";39,34
2013-07;"Production totale";40,85
2013-08;"Production totale";38,43
2013-09;"Production totale";38,6
2013-10;"Production totale";41,76
2013-11;"Production totale";48,53
2013-12;"Production totale";53,57
2014-01;"Production totale";55,74
2014-02;"Production totale";49,34
2014-03;"Production totale";48,04
2014-04;"Production totale";40,58
2014-05;"Production totale";41,65
2014-06;"Production totale";39,15
2014-07;"Production totale";42,51
2014-08;"Production totale";39,22
2014-09;"Production totale";38,99
2014-10;"Production totale";41,16
2014-11;"Production totale";46,93
2014-12;"Production totale";54,53
2015-01;"Production totale";58,1
2015-02;"Production totale";51,97
2015-03;"Production totale";50,5
2015-04;"Production totale";41,35
2015-05;"Production totale";40,48
2015-06;"Production totale";39,76
2015-07;"Production totale";41,54
2015-08;"Production totale";38,81
2015-09;"Production totale";38,93
2015-10;"Production totale";44,38
2015-11;"Production totale";47,38
2015-12;"Production totale";51,59
2016-01;"Production totale";55,9
2016-02;"Production totale";51,9
2016-03;"Production totale";51,96
2016-04;"Production totale";43,1
2016-05;"Production totale";40,58
2016-06;"Production totale";39,96
2016-07;"Production totale";38,38
2016-08;"Production totale";35,98
2016-09;"Production totale";36,38
2016-10;"Production totale";39,87
2016-11;"Production totale";45,43
2016-12;"Production totale";51,16
2017-01;"Production totale";57,15
2017-02;"Production totale";47,96
2017-03;"Production totale";49,69
2017-04;"Production totale";42,48
2017-05;"Production totale";41,47
2017-06;"Production totale";37,29
2017-07;"Production totale";38,83
2017-08;"Production totale";37,1
2017-09;"Production totale";38,59
2017-10;"Production totale";39,63
2017-11;"Production totale";44,89
2017-12;"Production totale";53,21
2018-01;"Production totale";56,64
2018-02;"Production totale";53,64
2018-03;"Production totale";52,36
2018-04;"Production totale";42,66
2018-05;"Production totale";42,65
2018-06;"Production totale";40,65
2018-07;"Production totale";41,19
2018-08;"Production totale";37,19
2018-09;"Production totale";38,81
2018-10;"Production totale";42,27
2018-11;"Production totale";46,23
2018-12;"Production totale";53,28
2019-01;"Production totale";55,82
2019-02;"Production totale";50,11
2019-03;"Production totale";50,35
2019-04;"Production totale";42,64
2019-05;"Production totale";43,57
2019-06;"Production totale";40,11
2019-07;"Production totale";40,48
2019-08;"Production totale";37,56
2019-09;"Production totale";37,52
2019-10;"Production totale";41,03
2019-11;"Production totale";45,8
2019-12;"Production totale";51,1
2020-01;"Production totale";54,61
2020-02;"Production totale";50,67
2020-03;"Production totale";47,93
2020-04;"Production totale";36,83
2020-05;"Production totale";37,64
2020-06;"Production totale";34,48
2020-07;"Production totale";34,47
2020-08;"Production totale";33,54
2020-09;"Production totale";32,16
2020-10;"Production totale";41,72
2020-11;"Production totale";45,1
2020-12;"Production totale";50,62
2021-01;"Production totale";55,38
2021-02;"Production totale";46,91
2021-03;"Production totale";47,52
2021-04;"Production totale";39,51
2021-05;"Production totale";41,38
2021-06;"Production totale";39,21
2021-07;"Production totale";40,51
2021-08;"Production totale";39,14
2021-09;"Production totale";38,48
2021-10;"Production totale";41,77
2021-11;"Production totale";44,35
2021-12;"Production totale";48,32
2022-01;"Production totale";52,17
2022-02;"Production totale";45,65
2022-03;"Production totale";42,53
2022-04;"Production totale";36,53
2022-05;"Production totale";33,9
2022-06;"Production totale";31,64
2022-07;"Production totale";30,84
2022-08;"Production totale";29,05
2022-09;"Production totale";28,95
2022-10;"Production totale";32,77
2022-11;"Production totale";36,75
2022-12;"Production totale";44,98
2023-01;"Production totale";48,97
2023-02;"Production totale";43,21
2023-03;"Production totale";42,62
2023-04;"Production totale";38,52
2023-05;"Production totale";39,1
2023-06;"Production totale";36,05
2023-07;"Production totale";36,93
2023-08;"Production totale";35,67
2023-09;"Production totale";37,14
2023-10;"Production totale";40,27
2023-11;"Production totale";45,43
2023-12;"Production totale";50,75
2024-01;"Production totale";55,15
2024-02;"Production totale";47,71
2024-03;"Production totale";46,32
